,rpm,time_h,bpr,impact,log_time,intensity,milling_rate,hardness_hv,strength_hv
rpm,1.0,0.2218202620871119,-0.050523449790201166,0.449800977114569,0.19066287629028233,0.4160118200423511,0.005214472781552135,-0.12360152798286014,-0.12360260548858142
time_h,0.2218202620871119,1.0,0.10506637076426745,0.9359815011551148,0.8346530696150701,0.8097600460629425,-0.49434263062040806,-0.20826932281910868,-0.20827043933492545
bpr,-0.050523449790201166,0.10506637076426745,1.0,0.012792679491834628,-0.010296453261419739,-0.30498817537366474,0.17919268072986994,0.06406405535247668,0.06406286931265948
impact,0.449800977114569,0.9359815011551148,0.012792679491834628,1.0,0.7009893708988476,0.8867788203418117,-0.37080720432279873,-0.1818619140757633,-0.1818630278442884
log_time,0.19066287629028233,0.8346530696150701,-0.010296453261419739,0.7009893708988476,1.0,0.6514019270233602,-0.8335156533660968,-0.17425348491835108,-0.17425492867454415
intensity,0.4160118200423511,0.8097600460629425,-0.30498817537366474,0.8867788203418117,0.6514019270233602,1.0,-0.37991436306130527,-0.21523724208111833,-0.21523795495275727
milling_rate,0.005214472781552135,-0.49434263062040806,0.17919268072986994,-0.37080720432279873,-0.8335156533660968,-0.37991436306130527,1.0,0.02494697182932407,0.024948007882939053
hardness_hv,-0.12360152798286014,-0.20826932281910868,0.06406405535247668,-0.1818619140757633,-0.17425348491835108,-0.21523724208111833,0.02494697182932407,1.0,0.9999999999954174
strength_hv,-0.12360260548858142,-0.20827043933492545,0.06406286931265948,-0.1818630278442884,-0.17425492867454415,-0.21523795495275727,0.024948007882939053,0.9999999999954174,1.0
