,rpm,time_h,bpr,impact,log_time,intensity,milling_rate,hardness_hv,strength_hv
rpm,1.0,0.000382263108658305,0.007168545757817707,0.4086947428145317,0.000382263108658305,0.3399207918179915,0.18735915348963292,-0.03879865358806285,-0.03879865358806285
time_h,0.000382263108658305,1.0,0.13450648618550706,0.8518125524817614,1.0,0.8082112492136383,-0.9596720923392489,-0.7259685732127382,-0.7259685732127382
bpr,0.007168545757817707,0.13450648618550706,1.0,0.1214478503953403,0.13450648618550706,-0.2693507781906931,-0.13597781950850593,-0.10374852097368896,-0.10374852097368896
impact,0.4086947428145317,0.8518125524817614,0.1214478503953403,1.0,0.8518125524817614,0.862014192436299,-0.7590137746599156,-0.6178939409070154,-0.6178939409070154
log_time,0.000382263108658305,1.0,0.13450648618550706,0.8518125524817614,1.0,0.8082112492136383,-0.9596720923392489,-0.7259685732127382,-0.7259685732127382
intensity,0.3399207918179915,0.8082112492136383,-0.2693507781906931,0.862014192436299,0.8082112492136383,1.0,-0.7507606405001926,-0.5695983644363655,-0.5695983644363655
milling_rate,0.18735915348963292,-0.9596720923392489,-0.13597781950850593,-0.7590137746599156,-0.9596720923392489,-0.7507606405001926,1.0,0.6368803806061547,0.6368803806061547
hardness_hv,-0.03879865358806285,-0.7259685732127382,-0.10374852097368896,-0.6178939409070154,-0.7259685732127382,-0.5695983644363655,0.6368803806061547,1.0,1.0
strength_hv,-0.03879865358806285,-0.7259685732127382,-0.10374852097368896,-0.6178939409070154,-0.7259685732127382,-0.5695983644363655,0.6368803806061547,1.0,1.0
